Security Code,Security Name,Industry,For Quarter Ending,XBRL
540829,Chandrima Mercantiles Ltd,Comm.Trading & Distribution,September 2020,
523246,CHOKHANI INTERNATIONAL LTD.,Commercial Vehicles,March 2020,
526043,POLYMECHPLAST MACHINES LTD.,Industrial Machinery,September 2020,
531506,SHUKRA BULLIONS LTD.,Diversified Commercial Services,September 2020,
523246,CHOKHANI INTERNATIONAL LTD.,Commercial Vehicles,December 2019,
530543,MARG LTD.,Realty,September 2020,
530281,QUANTUM DIGITAL VISION (INDIA) LTD.,Containers & Packaging,September 2020,
538319,GCM Capital Advisors Ltd,Other Financial Services,September 2020,
530125,SAMRAT PHARMACHEM LTD.-$,Pharmaceuticals,September 2020,
590003,KARUR VYSYA BANK LTD.,Banks,September 2020,
590073,WHEELS INDIA LTD.,Auto Parts & Equipment,September 2020,
590071,SUNDARAM FINANCE LTD.,Finance (including NBFCs),September 2020,
590056,SALONA COTSPIN LTD.,Textiles,September 2020,
532617,JET AIRWAYS (INDIA) LTD.,Airlines,September 2020,
526492,Rishiroop Ltd,Other Industrial Products,23 Oct 2020,
543242,Hemisphere Properties India Ltd,Realty,September 2020,
780018,Adhiraj Distributors Ltd,,September 2020,
530289,SP CAPITAL FINANCING LTD.,Diversified Commercial Services,September 2020,
509026,VJTF EDUSERVICES LTD.,Education,September 2020,
